Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","Ye ghar haridwar ke sitapur jwalapur ki ganesh vihar colony mei hei . Jisme 2 bedroom, 2 bathroom one tiolet extra, big porch for gadi parking, pooja room, big mumti hei 32 lakh mei sell ke liye hei jo khatidna chahta vo contact kr skta hei","1,008 sqft",Plot Area,₹32 Lac,"₹3,174 /sqft",2
3 BHK,"Jagjeetpur, Haridwar",Colony,I am the owner of this house and i am the sixth one to sell it.,800 sqft,Plot Area,₹29 Lac,"₹3,625 /sqft",1
Plot/Land,"Bahadarabad, Haridwar",Hari Enclave,"Haridwar's most affordable gated township, it has a resort theme based entry, lush green park, 30ft. Wide roads, sewerage connection, security 24/7, temple, water and electricity connections..",958 sqft,Plot Area,₹14.84 Lac,"₹1,550 /sqft",0
3 BHK,"Govindpuri, Haridwar","Govindpuri, Haridwar","3 bedrooms, 1 kitchen, 1 store room, 2 bathroom",930 sqft,Plot Area,₹90 Lac,"₹9,677 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"Plot no 460 , hero alaknanda green , opposite patanjali yogpeeth , on nh 58 , haridwar","1,405 sqft",Plot Area,₹38 Lac,"₹3,201 /sqft",0
5 BHK,"Shivalik Nagar, Haridwar",THIRHI visthapit colony,"Bhel haridwar thirhi visthapit colony mein ek 3 manjila makan bikau hai. Highlights-- Double side road hai, Front mein park hai, 2 makan ke baad pac training centre hai, Gas pipe line connection hai, Main road se second makan hai, 2 flour rent mein hai ek flour apne liea hai, rent per month 15000 aata hai, 1 minute drive from shivalik nagar, Sidcul industrial area 2 minutes, 2 minute drive from...",900 sqft,Plot Area,₹2 Cr,"₹22,222 /sqft",5
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar",20 bigha society with 2 park and 60ft road,"1,000 sqft",Plot Area,₹30 Lac,"₹3,000 /sqft",0
3 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,3 bhk apartment in haridwar greens society,"1,484 sqft",Super Built-up Area,₹51 Lac,"₹3,436 /sqft",2
3 BHK,"Nirmal apartment, Haridwar",Nirmal aparment,Near har ki pauri and good location,"1,150 sqft",Carpet Area,₹65 Lac,"₹5,652 /sqft",2
6 BHK,"Bahadarabad, Haridwar","Bahadarabad, Haridwar",Vip colony mein hai ek highway parr bilkul new house hai bhot achha kaam ho rkha hai,840 sqft,Plot Area,₹36 Lac,"₹4,285 /sqft",2
Plot/Land,"Crystal world NH 58, Haridwar","Crystal world NH 58, Haridwar","1. Main nh 58 connectivity 
2. Gated society 
3. 25-30 ft wide roads
4. Park
5. Streetlights 
6. Bank loan",825 sqft,Plot Area,₹24.75 Lac,"₹3,000 /sqft",0
Plot/Land,"Kankhal, Haridwar","Kankhal, Haridwar","We are proud owners of land available for sale in kankhal, haridwar. Available at price of rs 35 lacs. It has plot area of 1400 sq ft. It is a freehold property","1,400 sqft",Plot Area,₹35 Lac,"₹2,500 /sqft",0
2 BHK,"Patanjali Yogpeeth, Haridwar",Adiyogi Haridwar,This property is located at very good location near by national highway and crystal world good for investment purpose and give at least 12000 rupees per month rental income..,850 sqft,Plot Area,₹42 Lac,"₹4,941 /sqft",3
3 BHK,"Kankhal, Haridwar",Raja Garden,"3 bedroom, 2 washroom, lobby, waramda, seperate space for washing machine n cloth washing, dinning hall, kitchen, 500 ltr x 02 water tank, 1 hp water pump, igl gas connection proposed.",900 sqft,Plot Area,₹36 Lac,"₹4,000 /sqft",2
1 BHK,"Bhupatwala, Haridwar",Nirmal Dham Apartments,"1 bhk apartment in a fully secure gated society on a haridwar dehradun national highway,",538 sqft,Carpet Area,₹31 Lac,"₹5,760 /sqft",1
6 BHK,"Jiya Pota, Haridwar",Shree Ram Enclave,All facilities available in this colony.Two way house one side road around 22 ft and another way road around 35ft.The house was full maintained and fully furnished.,"1,016 sqft",Plot Area,₹75 Lac,"₹7,381 /sqft",4
Plot/Land,"Salempur, Haridwar","Salempur, Haridwar","60 feet road ,2 park ,24/7 security guard,power supply , water supply,civir line","1,000 sqft",Plot Area,₹27 Lac,"₹3,000 /sqft",0
3 BHK,"Subhash Nagar, Haridwar","Subhash Nagar, Haridwar","Well socieity, near dps school, near bhel,",790 sqft,Plot Area,₹45 Lac,"₹5,696 /sqft",3
3 BHK,"New Shivalik Nagar, Haridwar","New Shivalik Nagar, Haridwar","I am looking for buyer to purchase house/villa semi furnished available for sale in tehri visthapit colony near 40 bn pac haridwar. Available at price of rs 9500000. It has built up area of 2600 sqft. It has 3 bhk, 3 bathroom, 1 balcony.It is a freehold property","2,600 sqft",Built-up Area,₹95 Lac,"₹3,653 /sqft",3
3 BHK,"Near 40BN PAC Ranipur, Haridwar",Tehri visthapit Colony,New villa ready to move for sale my contact number,"1,065 sqft",Plot Area,₹95 Lac,"₹5,588 /sqft",3
